Unnamed: 0,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space,Latitude,Longitude
106,57,65000,2,4,4,Евроремонт,Другое,"город Ташкент, Сергелийский район, махаллинский сход граждан Нилуфар",0,0,1,1,0,1,1,0,1,0,1,0,0,1,69.223475,69.223475
107,65,78000,3,1,4,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий, улица Абу Сулеймана Банокати",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.29057,69.29057
108,82,61000,3,3,14,Требует ремонта,Панельный,"город Ташкент, Сергелийский район, махаллинский сход граждан Янги Сергели",1,1,0,0,0,1,0,0,0,0,0,0,0,0,69.219693,69.219693
109,50,52000,2,4,4,Средний,Панельный,"город Ташкент, Юнусабадский район, 15-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.301386,69.301386
110,75,85000,3,9,9,Авторский проект,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Лашкарбеги, проспект Мустакиллик",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.298404,69.298404
111,78,78000,3,4,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аль-Фараби, улица Ахмада Югнаки",0,0,1,1,1,1,1,1,1,0,1,0,0,1,69.389906,69.389906
112,92,83000,4,3,5,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Алтынкуль, улица Абдурауфа Фитрата",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.295718,69.295718
113,150,170000,4,6,9,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, 17-й квартал",1,1,1,1,1,1,1,1,1,1,1,1,1,1,69.310405,69.310405
114,21,28000,1,2,5,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Сайрам, 5-й проезд Сайрам",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.326647,69.326647
115,51,49000,2,4,4,Требует ремонта,Панельный,"город Ташкент, Юнусабадский район, микрорайон ТашГРЭС",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.337525,69.337525
116,80,70500,3,5,5,Средний,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Истиклолабад, 5-й проезд Эски-Сарикул",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.288028,69.288028
117,40,42000,2,2,2,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Карасу, Ферганская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3048,69.3048
118,34,40500,1,2,2,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Абдурауф Фитрат, улица Учувчилар",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.295852,69.295852
119,34,41500,1,3,4,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Навруз, улица Сарыкуль",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.288639,69.288639
120,39,55000,1,5,9,Евроремонт,Панельный,"город Ташкент, Яшнободский район, жилой комплекс Эльбек",1,0,1,1,1,1,1,1,1,1,0,1,1,1,69.29305,69.29305
121,56.7,57000,2,4,4,Евроремонт,Панельный,"Ташкентская область, городской посёлок Эшангузар, 1-й микрорайон, улица Шарк Юлдузи",0,1,1,1,1,0,1,1,1,1,1,0,0,1,69.151071,69.151071
122,36,60000,1,4,5,Авторский проект,Кирпичный,"Ташкентская область, городской посёлок Кибрай, улица Хамза",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.458618,69.458618
123,120,120000,5,9,9,Евроремонт,Монолитный,"город Ташкент, Учтепинский район, махаллинский сход граждан Фарход",1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.354269,65.354269
124,70,78800,3,1,4,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богишамол",0,0,1,0,0,0,1,0,1,1,0,0,0,1,69.289187,69.289187
125,116,210000,5,5,9,Евроремонт,Другое,"город Ташкент, Мирзо-Улугбекский район, массив Алай",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.287462,69.287462
126,62,90000,3,2,4,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, массив Феруза-1, улица Мирзо Улугбека",0,0,1,1,1,1,1,1,1,1,1,0,0,1,69.335863,69.335863
127,60,74500,2,5,9,Евроремонт,Панельный,"город Ташкент, Юнусабадский район, массив Кашгар",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.277949,69.277949
128,50,70000,2,1,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Тракторсозлар, улица Ульяна",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.388406,69.388406
129,90,110000,3,5,5,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, жилой комплекс Яккасарой палас, улица Бабура",0,0,1,1,1,1,1,1,1,1,0,0,0,0,69.254054,69.254054
130,75,80000,2,9,9,Средний,Панельный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Олмазор, улица Ислама Каримова",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.259498,69.259498
131,90,88000,4,4,4,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богибустан, улица Богишамол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.310001,69.310001
132,110,100000,4,2,4,Средний,Кирпичный,"город Ташкент, Янгихаётский район, 4-й квартал, улица Софдил",0,1,0,0,0,1,1,0,1,1,0,0,0,1,69.231713,69.231713
133,59,195555,2,8,51,Требует ремонта,Блочный,"город Ташкент, Шайхантахурский район, жилой комплекс Nest One, улица Батыра Закирова",1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.254072,69.254072
134,18,24500,1,1,4,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Бойкургон, улица Мирзо Улугбека",0,0,1,0,0,1,1,0,0,1,0,0,0,1,69.315094,69.315094
135,78,76500,3,2,5,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Сабирабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.27644,69.27644
136,55,81950,2,6,9,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, 5-й квартал",1,1,1,1,0,1,1,1,1,1,1,0,0,1,69.216864,69.216864
